name,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Phocaeicola sp000434735,1e-05,0,0,4e-05,3e-05,4e-05,2e-05,1e-05,3e-05,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3e-05
Phocaeicola sp000432735,0,0,0,1e-05,3e-05,0,0,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,0,0,0
MGYG000002614,1e-05,0,0,2e-05,2e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,0,0,0,0
Phocaeicola sp002161765,0,0,0,1e-05,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,0
Phocaeicola sp900546355,0,0,0,1e-05,3e-05,0,0,1e-05,1e-05,1e-05,1e-05,0,0,0,0,0,0,0
Phocaeicola sp900552075,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Phocaeicola sp900551065,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Phocaeicola sp900551445,0,0,0,1e-05,2e-05,1e-05,0,1e-05,1e-05,0,1e-05,0,0,0,0,0,0,0
Prevotella stercorea,0.0011,0.00294,0.08786,0.0009,0.01359,0.48991,0.00128,0.00216,0.18337,0.00095,0.00276,0.67661,0.00109,0.00264,0.11749,0.00145,0.00123,0.46504
Prevotella disiens,0.0006,0.0007,0.00024,0.00089,0.00072,0.00102,0.00122,0.00064,0.00057,0.00078,0.00069,0.00121,0.00094,0.00124,0.00052,0.0008,0.0007,0.00079
Prevotella corporis,0.00137,0.00283,8e-05,0.00084,0.00067,0.00076,0.00273,0.00151,0.00035,0.00115,0.00173,0.00055,0.00086,0.0025,0.0002,0.00165,0.00143,0.00048
Prevotella oralis,0.00019,0.00029,0.00019,0.00041,0.0007,0.00055,0.00039,0.00035,0.0003,0.00035,0.00041,0.00088,0.00034,0.00048,0.00021,0.00033,0.0004,0.00041
Prevotella copri_A,0.00108,0.00164,0.00058,0.00185,0.00208,0.00348,0.00183,0.00126,0.00179,0.00065,0.00135,0.0075,0.00064,0.00124,0.0012,0.00092,0.00089,0.00653
Prevotella sp003447235,5e-05,4e-05,1e-05,4e-05,1e-05,2e-05,6e-05,6e-05,2e-05,0.00011,6e-05,3e-05,8e-05,0.00025,3e-05,8e-05,0.00017,4e-05
Prevotella sp000436035,5e-05,2e-05,1e-05,0.00025,9e-05,0.00025,8e-05,0.00022,0.00029,0.00037,0.00012,0.00032,0.00055,9e-05,0.00088,0.00018,0.00042,0.00026
Prevotella rara,6e-05,8e-05,8e-05,6e-05,6e-05,0.0005,8e-05,8e-05,0.00023,0.00016,7e-05,0.00077,0.00014,0.00015,0.00016,8e-05,0.00014,0.00047
Prevotella sp900553465,3e-05,3e-05,0.00015,5e-05,3e-05,0.00049,0.00012,5e-05,0.00016,6e-05,7e-05,0.00334,4e-05,6e-05,0.00011,6e-05,5e-05,0.00054
Prevotella sp900553965,1e-05,1e-05,1e-05,3e-05,1e-05,2e-05,3e-05,2e-05,2e-05,1e-05,3e-05,3e-05,1e-05,4e-05,2e-05,2e-05,3e-05,2e-05
Prevotella sp000436915,1e-05,1e-05,1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,2e-05,3e-05,1e-05,5e-05,2e-05,2e-05,2e-05,2e-05,2e-05,5e-05
Prevotella sp900557255,1e-05,2e-05,8e-05,5e-05,0.00013,0.00115,6e-05,4e-05,0.0005,2e-05,4e-05,0.00138,3e-05,3e-05,0.00027,2e-05,3e-05,0.00126
MGYG000004462,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,2e-05,1e-05,2e-05,0,1e-05,2e-05,2e-05
Prevotella sp900554695,0,1e-05,0,0,6e-05,1e-05,0,3e-05,1e-05,0,5e-05,3e-05,0,2e-05,0,0,1e-05,1e-05
Prevotella sp000435635,0,0,1e-05,0,1e-05,2e-05,0,0,1e-05,1e-05,1e-05,0.00012,1e-05,1e-05,1e-05,0,1e-05,3e-05
Prevotella sp000436595,0.00072,1e-05,0.00012,9e-05,8e-05,2e-05,0.00021,3e-05,4e-05,0.00103,4e-05,2e-05,0.00083,2e-05,7e-05,0.00023,2e-05,2e-05
Prevotella sp000436695,1e-05,1e-05,0,0.00018,5e-05,6e-05,7e-05,6e-05,0.00013,3e-05,9e-05,3e-05,4e-05,1e-05,0.00013,4e-05,4e-05,3e-05
Prevotella pectinovora,0,1e-05,1e-05,2e-05,3e-05,8e-05,2e-05,1e-05,5e-05,2e-05,1e-05,0.00013,2e-05,2e-05,2e-05,1e-05,1e-05,9e-05
Prevotella sp900554545,0,0,0.00635,5e-05,1e-05,0.00188,3e-05,0,0.00014,0.00117,0,0.00451,0.00216,1e-05,0.00201,0.0031,1e-05,0.00667
