category,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Trichlorobacter_lovleyi,3.66881620569927e-07,4.1459694115352e-07,0,8.62663505425191e-07,0,1.49098774649262e-06,2.01529562354708e-06,8.9982210235842e-07,1.28925733177478e-06,2.39736415023343e-06,0,5.33277432930424e-07,5.07032238899275e-07,0,4.4435736685822e-07,6.16599365824616e-07,0,9.90165490690433e-07
Trichlorobacter_ammonificans,5.19748962474064e-07,0,1.53677099942897e-06,7.63125408645361e-07,0,6.57788711687919e-07,0,0,6.44628665887391e-07,1.59824276682229e-06,0,7.75676266080617e-07,3.87730535628857e-07,0,3.70297805715184e-07,4.99151867572308e-07,0,0
Geomonas_subterranea,4.58602025712409e-07,0,0,0,0,6.13936130908724e-07,0,0,0,0,0,7.27196499450579e-07,3.87730535628857e-07,6.05812957066944e-07,2.66614420114932e-06,3.8170436932e-07,0,0
Geomonas_sp_RF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfuromonas_thiophila,0,0,0,0,0,4.38525807791946e-07,6.04588687064123e-07,0,0,6.94888159487951e-07,0,0,7.15810219622506e-07,0,4.07327586286702e-07,0,0,8.66394804354129e-07
uncultured_Desulfuromonas_sp_,6.11469367616546e-07,0,0,1.16127779576468e-06,4.80539819211309e-07,1.44713516571342e-06,9.40471290988636e-07,1.01229986515322e-06,9.66942998831087e-07,1.18130987112952e-06,0,1.69679183205135e-06,8.94762774528132e-07,7.71034672630657e-07,1.92554858971896e-06,4.69789993009231e-07,3.87295994255626e-07,1.36147754969935e-06
Desulfuromonas_sp_DDH964,4.28028557331582e-07,0,0,5.30869849492425e-07,0,7.01641292467113e-07,3.35882603924513e-07,0,0,7.64376975436746e-07,4.51903947589988e-07,0,7.15810219622506e-07,0,7.40595611430368e-07,6.45961240387693e-07,5.25615992204064e-07,0
Pelobacter_propionicus,1.0089244565673e-06,0,1.6549841532312e-06,1.49307145169745e-06,0,1.31557742337584e-06,1.3771186760905e-06,0,2.37706820545975e-06,1.4245207269503e-06,0,2.56942763139205e-06,1.3421441617922e-06,0,2.11069749257655e-06,0,0,3.71312059008912e-06
Geoalkalibacter_halelectricus,0,0,0,0,0,4.8237838857114e-07,0,0,5.23760791033505e-07,3.47444079743975e-07,0,0,0,0,0,0,0,0
Geoalkalibacter_subterraneus,6.11469367616546e-07,0,0,5.97228580678979e-07,0,0,6.04588687064123e-07,0,1.6921502479544e-06,6.25399343539156e-07,0,4.07230039692324e-06,3.87730535628857e-07,0,1.62931034514681e-06,7.63408738640001e-07,0,6.74550240532858e-06
Syntrophotalea_acetylenivorans,0,0,0,0,0,3.02582807376443e-06,0,0,1.1683894569209e-06,0,0,2.86030623117228e-06,6.85984793804901e-07,0,1.07386363657403e-06,0,0,0
Syntrophotalea_carbinolica,6.11469367616546e-07,0,0,7.29946043052085e-07,3.67471626455707e-07,0,0,0,0,7.29632567462348e-07,0,0,1.16319160688657e-06,3.02906478533472e-07,0,4.99151867572308e-07,0,0
Desulfobacter_postgatei,0,0,0,3.31793655932766e-07,0,0,0,0,0,4.51677303667168e-07,0,0,3.57905109811253e-07,0,0,0,0,0
uncultured_Desulfobacter_sp_,2.07899584989625e-06,8.01554086230138e-07,5.3255025787904e-05,2.09030003237643e-06,1.21548307212272e-06,1.87689045734953e-05,1.57864823844521e-06,0,1.07169515703779e-05,2.36261974225903e-06,9.60295888628724e-07,2.91363397446532e-05,2.0579543814147e-06,1.10147810375808e-06,3.99921630172398e-06,1.02766560970769e-06,9.68239985639065e-07,6.84451895439762e-05
Desulfobacula_toluolica,0,0,0,0,0,1.578692908051e-06,0,0,1.36983591501071e-06,0,0,1.21199416575096e-06,0,0,8.14655172573404e-07,0,0,1.23770686336304e-06
Desulforapulum_autotrophicum,4.89175494093236e-07,0,0,4.64511118305872e-07,0,2.89427033142684e-06,9.40471290988636e-07,0,2.0144645808981e-06,9.72843423283131e-07,0,1.98767043183158e-06,7.4563564544011e-07,0,1.88851880914744e-06,5.87237491261539e-07,0,1.5471335792038e-06
Desulfosarcina_alkanivorans,0,0,0,0,0,3.63976420467315e-06,0,0,1.36983591501071e-06,6.60143751513553e-07,0,2.90878599780232e-06,6.26333942169692e-07,0,9.25744514287959e-07,0,0,1.67090426554011e-06
uncultured_Desulfosarcina_sp_,0,1.27143061953746e-06,2.40563767987535e-05,0,6.50142108344712e-07,6.97256034389194e-06,0,5.90508254672713e-07,3.06198616296511e-06,0,1.52517582311621e-06,1.21199416575096e-05,0,5.5073905187904e-07,1.85148902857592e-06,0,1.18955198235656e-06,2.53729906989423e-05
Desulfococcus_multivorans,3.97455088950755e-07,0,0,4.64511118305872e-07,0,0,3.69470864316964e-07,0,0,4.86421711641566e-07,0,6.30236966190502e-07,5.96508516352088e-07,3.30443431127424e-07,0,5.87237491261539e-07,3.31967995076251e-07,0
Desulfonema_limicola,0,5.52795921538026e-07,1.35945126872563e-06,0,0,7.45493873246308e-07,5.03823905886769e-07,0,6.84917957505353e-07,6.25399343539156e-07,0,9.21115565970733e-07,2.98254258176044e-07,0,7.40595611430368e-07,6.45961240387693e-07,0,1.79467495187641e-06
Desulfonema_magnum,1.37580607713723e-06,0,0,2.45527305390247e-06,0,2.80656516986845e-06,1.3771186760905e-06,3.93672169781809e-07,2.65909324678549e-06,1.21605427910391e-06,0,3.44206343073274e-06,8.64937348710528e-07,0,2.8142633234354e-06,0,0,1.48524823603565e-06
