name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
CAG-882 sp900545455	3064	S	24	3	27	0.00000
MGYG000004380	5575	S	131	9	140	0.00000
CAG-194 sp000432915	5802	S	125	11	136	0.00000
MGYG000002210	3153	S	125	25	150	0.00000
CAG-317 sp000433535	2548	S	52	44	96	0.00000
CAG-317 sp900543415	1715	S	38	23	61	0.00000
MGYG000004879	6100	S	98	10	108	0.00000
MGYG000002075	3004	S	98	12	110	0.00000
MGYG000002052	2981	S	94	0	94	0.00000
Robinsoniella sp900540475	1703	S	92	0	92	0.00000
MGYG000000361	709	S	88	7	95	0.00000
Dorea_B phocaeensis	2451	S	84	22	106	0.00000
MGYG000003769	4919	S	77	7	84	0.00000
MGYG000003970	5131	S	75	26	101	0.00000
MGYG000004781	5998	S	34	16	50	0.00000
UMGS680 sp900544525	1620	S	16	8	24	0.00000
MGYG000004884	6104	S	64	0	64	0.00000
UMGS1472 sp900552095	1844	S	49	2	51	0.00000
MGYG000003273	4348	S	47	8	55	0.00000
Frisingicoccus sp900757195	5759	S	46	0	46	0.00000
Massilistercora timonensis	3145	S	35	5	40	0.00000
MGYG000004660	5871	S	33	0	33	0.00000
RUG14107 sp900772685	3680	S	29	0	29	0.00000
Anaerocolumna aminovalerica	3880	S	27	0	27	0.00000
MGYG000000387	768	S	24	0	24	0.00000
MGYG000000578	1106	S	9	0	9	0.00000
Anaerotignum faecicola	423	S	79821	96585	176406	0.00493
Anaerotignum lactatifermentans	2705	S	11097	74191	85288	0.00239
Anaerotignum sp001304995	117	S	7176	49565	56741	0.00159
MGYG000002623	3640	S	76	314	390	0.00001
UMGS1670 sp900548595	5852	S	34963	6572	41535	0.00116
UMGS1670 sp900546215	5479	S	148	4	152	0.00000
UMGS1670 sp900553995	831	S	138	3	141	0.00000
UMGS1441 sp900551755	1839	S	3528	72	3600	0.00010
MGYG000001833	2718	S	7	0	7	0.00000
CAG-274 sp000432155	1814	S	3332	133	3465	0.00010
NSJ-32 sp014384895	4274	S	533	276	809	0.00002
MGYG000004775	5993	S	450	110	560	0.00002
MGYG000001033	1672	S	8	3	11	0.00000
Niameybacter sp900549765	1617	S	18	0	18	0.00000
Faecalibacterium prausnitzii	1996	S	31550	81669	113219	0.00317
Faecalibacterium prausnitzii_G	3565	S	18760	34490	53250	0.00149
Faecalibacterium prausnitzii_I	3235	S	9900	7418	17318	0.00048
Faecalibacterium prausnitzii_D	3233	S	7555	13876	21431	0.00060
Faecalibacterium sp900539945	5056	S	2985	2415	5400	0.00015
Faecalibacterium sp900551435	4802	S	1042	221	1263	0.00004
MGYG000000876	1493	S	405	1059	1464	0.00004
Faecalibacterium prausnitzii_C	132	S	256	422	678	0.00002
Faecalibacterium sp003449675	3660	S	246	434	680	0.00002
Faecalibacterium prausnitzii_J	3636	S	152	248	400	0.00001
MGYG000002223	3170	S	129	175	304	0.00001
Faecalibacterium sp900758465	2969	S	118	83	201	0.00001
Faecalibacterium sp900765105	5531	S	116	46	162	0.00000
MGYG000002610	3630	S	95	76	171	0.00000
Faecalibacterium sp900540455	3171	S	89	23	112	0.00000
Faecalibacterium sp900539885	4216	S	67	63	130	0.00000
UBA1394 sp900066845	233	S	17927	6024	23951	0.00067
MGYG000004304	5499	S	64	2	66	0.00000
UBA1394 sp900554975	5674	S	3	0	3	0.00000
Gemmiger formicilis	265	S	2750	5922	8672	0.00024
Gemmiger variabilis	2026	S	1549	957	2506	0.00007
Gemmiger sp900539695	2477	S	110	65	175	0.00000
Gemmiger sp900540595	5075	S	19	24	43	0.00000
Gemmiger sp900540775	1810	S	18	27	45	0.00000
Gemmiger sp900548355	1538	S	16	0	16	0.00000
MGYG000004732	5946	S	11	0	11	0.00000
Gemmiger variabilis_A	1097	S	7	5	12	0.00000
Gemmiger sp900556255	1646	S	5	3	8	0.00000
MGYG000000724	1310	S	3	1	4	0.00000
CAG-353 sp900066885	272	S	5594	3623	9217	0.00026
CAG-353 sp900768995	836	S	10	0	10	0.00000
Massilioclostridium methylpentosum	2039	S	2658	491	3149	0.00009
Ruminococcus_D sp000434695	5478	S	1248	233	1481	0.00004
Ruminococcus_D sp900539835	3921	S	1019	102	1121	0.00003
Ruminococcus_D sp900543145	2810	S	236	22	258	0.00001
Ruminococcus_D sp900770285	4703	S	114	24	138	0.00000
Ruminococcus_D sp900539095	1864	S	16	4	20	0.00000
Anaerotruncus rubiinfantis	353	S	1519	206	1725	0.00005
MGYG000004586	5793	S	644	152	796	0.00002
Ruminococcus_C sp000437175	5472	S	433	190	623	0.00002
Ruminococcus_C sp900765125	4414	S	162	108	270	0.00001
UBA5884 sp900551505	5542	S	1137	11	1148	0.00003
MGYG000004517	5721	S	14	0	14	0.00000
Harryflintia acetispora	3405	S	918	446	1364	0.00004
CAG-115 sp900768705	4595	S	193	14	207	0.00001
CAG-115 sp003516865	2926	S	27	3	30	0.00000
